det,des,id,img_idx,ttc_lidar,ttc_camera,ttc_diff
BRISK,FREAK,173,12,8.95978,13.4309,-4.47111
BRISK,FREAK,174,13,9.96439,13.1625,-3.1981
BRISK,FREAK,175,14,9.59863,10.5984,-0.999767
BRISK,FREAK,176,15,8.52157,10.7655,-2.24395
BRISK,FREAK,177,16,9.51552,12.4898,-2.97432
BRISK,FREAK,178,17,9.61241,8.92016,0.692251
BRISK,FREAK,179,18,8.3988,10.4832,-2.08443
BRISK,AKAZE,180,1,12.5156,13.3965,-0.880901
BRISK,AKAZE,181,2,12.6142,12.7653,-0.151101
BRISK,AKAZE,182,3,14.091,16.4878,-2.39675
BRISK,AKAZE,183,4,16.6894,14.3497,2.33966
BRISK,AKAZE,184,5,15.7465,14.1229,1.62369
BRISK,AKAZE,185,6,12.7835,15.2617,-2.47818
BRISK,AKAZE,186,7,11.9844,13.9231,-1.93872
BRISK,AKAZE,187,8,13.1241,16.5304,-3.40632
BRISK,AKAZE,188,9,13.0241,15.5019,-2.4778
BRISK,AKAZE,189,10,11.1746,10.3697,0.804955
BRISK,AKAZE,190,11,12.8086,11.7409,1.06767
BRISK,AKAZE,191,12,0,0,0
BRISK,AKAZE,192,13,9.96439,13.0501,-3.08567
BRISK,AKAZE,193,14,9.59863,10.715,-1.11633
BRISK,AKAZE,194,15,8.52157,11.1157,-2.59417
BRISK,AKAZE,195,16,9.51552,12.1509,-2.63543
BRISK,AKAZE,196,17,9.61241,8.71343,0.898987
BRISK,AKAZE,197,18,8.3988,11.3786,-2.97976
BRISK,SIFT,198,1,12.5156,11.9632,0.552448
BRISK,SIFT,199,2,12.6142,12.1135,0.500788
BRISK,SIFT,200,3,14.091,16.5935,-2.5025
BRISK,SIFT,201,4,16.6894,14.7476,1.94179
BRISK,SIFT,202,5,15.7465,13.5831,2.16348
BRISK,SIFT,203,6,12.7835,15.1642,-2.38071
BRISK,SIFT,204,7,11.9844,14.19,-2.20563
BRISK,SIFT,205,8,13.1241,16.9059,-3.78183
BRISK,SIFT,206,9,13.0241,15.1988,-2.17467
BRISK,SIFT,207,10,11.1746,13.175,-2.00035
BRISK,SIFT,208,11,12.8086,11.721,1.08758
BRISK,SIFT,209,12,8.95978,12.813,-3.85319
BRISK,SIFT,210,13,9.96439,12.3393,-2.37487
BRISK,SIFT,211,14,9.59863,10.6665,-1.06785
BRISK,SIFT,212,15,8.52157,10.2688,-1.74722
BRISK,SIFT,213,16,9.51552,11.5019,-1.98633
BRISK,SIFT,214,17,9.61241,8.71343,0.898987
BRISK,SIFT,215,18,8.3988,11.3086,-2.90977
ORB,BRISK,216,1,12.5156,48.9008,-36.3852
ORB,BRISK,217,2,12.6142,18.6344,-6.02015
ORB,BRISK,218,3,14.091,12.0855,2.00556
ORB,BRISK,219,4,16.6894,40.3304,-23.641
ORB,BRISK,220,5,15.7465,67.1532,-51.4066
ORB,BRISK,221,6,12.7835,10.4279,2.35561
ORB,BRISK,222,7,11.9844,12.7663,-0.781984
ORB,BRISK,223,8,13.1241,10.8519,2.27219
ORB,BRISK,224,9,13.0241,-inf,inf
ORB,BRISK,225,10,11.1746,20.6937,-9.51902
ORB,BRISK,226,11,12.8086,7.78781,5.02079
ORB,BRISK,227,12,8.95978,-inf,inf
ORB,BRISK,228,13,9.96439,22.4629,-12.4985
ORB,BRISK,229,14,0,0,0
ORB,BRISK,230,15,8.52157,22.6072,-14.0857
ORB,BRISK,231,16,0,0,0
ORB,BRISK,232,17,9.61241,15.7683,-6.15592
ORB,BRISK,233,18,8.3988,33.3524,-24.9536
ORB,BRIEF,234,1,12.5156,14.1913,-1.67568
ORB,BRIEF,235,2,12.6142,10.6654,1.94888
ORB,BRIEF,236,3,0,0,0
ORB,BRIEF,237,4,16.6894,-inf,inf
ORB,BRIEF,238,5,15.7465,30.1357,-14.3892
ORB,BRIEF,239,6,12.7835,-inf,inf
ORB,BRIEF,240,7,11.9844,19.9077,-7.92337
ORB,BRIEF,241,8,13.1241,9.15126,3.97286
ORB,BRIEF,242,9,13.0241,-inf,inf
ORB,BRIEF,243,10,11.1746,-inf,inf
ORB,BRIEF,244,11,12.8086,9.37848,3.43013
ORB,BRIEF,245,12,8.95978,-inf,inf
ORB,BRIEF,246,13,9.96439,-inf,inf
ORB,BRIEF,247,14,9.59863,11.2267,-1.62811
ORB,BRIEF,248,15,0,0,0
ORB,BRIEF,249,16,0,0,0
ORB,BRIEF,250,17,9.61241,11.6294,-2.01694
ORB,BRIEF,251,18,8.3988,57.4134,-49.0146
ORB,ORB,252,1,12.5156,13.0822,-0.566649
ORB,ORB,253,2,12.6142,24.1294,-11.5152
ORB,ORB,254,3,0,0,0
ORB,ORB,255,4,16.6894,49.909,-33.2196
ORB,ORB,256,5,15.7465,21.3371,-5.59056
ORB,ORB,257,6,12.7835,13.4145,-0.630962
ORB,ORB,258,7,11.9844,224.493,-212.509
ORB,ORB,259,8,13.1241,-inf,inf
ORB,ORB,260,9,13.0241,-inf,inf
ORB,ORB,261,10,11.1746,9.73306,1.44158
ORB,ORB,262,11,12.8086,21.3918,-8.58315
ORB,ORB,263,12,0,0,0
ORB,ORB,264,13,9.96439,-inf,inf
ORB,ORB,265,14,9.59863,21.8391,-12.2405
ORB,ORB,266,15,0,0,0
ORB,ORB,267,16,0,0,0
ORB,ORB,268,17,9.61241,17.2314,-7.61902
ORB,ORB,269,18,8.3988,34.9182,-26.5194
ORB,FREAK,270,1,12.5156,16.5073,-3.99168
ORB,FREAK,271,2,12.6142,24.1294,-11.5152
ORB,FREAK,272,3,0,0,0
ORB,FREAK,273,4,16.6894,24.9099,-8.22053
ORB,FREAK,274,5,15.7465,24.0009,-8.2544
ORB,FREAK,275,6,12.7835,11.5198,1.26374
ORB,FREAK,276,7,11.9844,191.051,-179.066
ORB,FREAK,277,8,13.1241,-inf,inf
ORB,FREAK,278,9,13.0241,140.565,-127.541
ORB,FREAK,279,10,11.1746,10.5404,0.634257
ORB,FREAK,280,11,12.8086,23.2862,-10.4776
ORB,FREAK,281,12,0,0,0
ORB,FREAK,282,13,9.96439,-inf,inf
ORB,FREAK,283,14,9.59863,21.8391,-12.2405
ORB,FREAK,284,15,0,0,0
ORB,FREAK,285,16,0,0,0
ORB,FREAK,286,17,9.61241,17.2314,-7.61902
ORB,FREAK,287,18,8.3988,34.9182,-26.5194
ORB,AKAZE,288,1,12.5156,13.0822,-0.566649
ORB,AKAZE,289,2,12.6142,34.3707,-21.7565
ORB,AKAZE,290,3,0,0,0
ORB,AKAZE,291,4,16.6894,24.9099,-8.22053
ORB,AKAZE,292,5,15.7465,24.0009,-8.2544
ORB,AKAZE,293,6,12.7835,13.4145,-0.630962
ORB,AKAZE,294,7,11.9844,191.051,-179.066
ORB,AKAZE,295,8,13.1241,100.501,-87.3767
ORB,AKAZE,296,9,13.0241,-inf,inf
ORB,AKAZE,297,10,11.1746,12.8303,-1.65561
ORB,AKAZE,298,11,12.8086,19.4803,-6.67166
ORB,AKAZE,299,12,0,0,0
ORB,AKAZE,300,13,9.96439,-inf,inf
ORB,AKAZE,301,14,9.59863,21.8391,-12.2405
ORB,AKAZE,302,15,0,0,0
ORB,AKAZE,303,16,0,0,0
ORB,AKAZE,304,17,9.61241,17.2314,-7.61902
ORB,AKAZE,305,18,8.3988,34.9182,-26.5194
ORB,SIFT,306,1,12.5156,13.0822,-0.566649
ORB,SIFT,307,2,12.6142,24.1294,-11.5152
ORB,SIFT,308,3,0,0,0
ORB,SIFT,309,4,16.6894,46.1601,-29.4707
ORB,SIFT,310,5,15.7465,24.0009,-8.2544
ORB,SIFT,311,6,12.7835,13.4145,-0.630962
ORB,SIFT,312,7,11.9844,191.051,-179.066
ORB,SIFT,313,8,13.1241,-inf,inf
ORB,SIFT,314,9,13.0241,-inf,inf
ORB,SIFT,315,10,11.1746,10.5404,0.634257
ORB,SIFT,316,11,12.8086,24.9891,-12.1805
ORB,SIFT,317,12,0,0,0
ORB,SIFT,318,13,9.96439,-inf,inf
ORB,SIFT,319,14,9.59863,21.8391,-12.2405
ORB,SIFT,320,15,0,0,0
ORB,SIFT,321,16,0,0,0
ORB,SIFT,322,17,9.61241,16.7035,-7.09112
ORB,SIFT,323,18,8.3988,34.9182,-26.5194
AKAZE,BRISK,324,1,12.5156,12.9833,-0.46767
AKAZE,BRISK,325,2,12.6142,14.0699,-1.45569
AKAZE,BRISK,326,3,14.091,13.8423,0.248684
AKAZE,BRISK,327,4,16.6894,14.664,2.02543
AKAZE,BRISK,328,5,15.7465,14.2094,1.53711
AKAZE,BRISK,329,6,12.7835,15.5232,-2.73967
AKAZE,BRISK,330,7,11.9844,25.7052,-13.7208
AKAZE,BRISK,331,8,13.1241,21.0669,-7.9428
AKAZE,BRISK,332,9,13.0241,21.8222,-8.79809
AKAZE,BRISK,333,10,11.1746,11.6065,-0.431898
AKAZE,BRISK,334,11,12.8086,20.1676,-7.35897
AKAZE,BRISK,335,12,8.95978,11.2221,-2.26235
AKAZE,BRISK,336,13,9.96439,10.1985,-0.234118
AKAZE,BRISK,337,14,9.59863,15.2046,-5.60602
AKAZE,BRISK,338,15,8.52157,15.6112,-7.08964
AKAZE,BRISK,339,16,9.51552,10.2919,-0.776377
AKAZE,BRISK,340,17,9.61241,9.52044,0.0919706
AKAZE,BRISK,341,18,8.3988,9.26906,-0.870261
AKAZE,BRIEF,342,1,12.5156,12.5102,0.00539252
AKAZE,BRIEF,343,2,12.6142,15.2784,-2.66413
AKAZE,BRIEF,344,3,14.091,13.4446,0.646427
AKAZE,BRIEF,345,4,16.6894,13.7443,2.94513
AKAZE,BRIEF,346,5,15.7465,14.1099,1.63665
AKAZE,BRIEF,347,6,12.7835,13.1004,-0.316879
AKAZE,BRIEF,348,7,11.9844,16.3748,-4.39041
AKAZE,BRIEF,349,8,13.1241,13.9028,-0.778647
AKAZE,BRIEF,350,9,13.0241,13.1062,-0.0820796
AKAZE,BRIEF,351,10,11.1746,12.2593,-1.08462
AKAZE,BRIEF,352,11,12.8086,11.6354,1.17318
AKAZE,BRIEF,353,12,8.95978,10.165,-1.20518
AKAZE,BRIEF,354,13,9.96439,10.7923,-0.827873
AKAZE,BRIEF,355,14,9.59863,11.692,-2.09339
AKAZE,BRIEF,356,15,8.52157,11.3735,-2.8519
AKAZE,BRIEF,357,16,9.51552,10.6302,-1.11465
AKAZE,BRIEF,358,17,9.61241,8.80984,0.802577
AKAZE,BRIEF,359,18,8.3988,9.02521,-0.626409
AKAZE,ORB,360,1,12.5156,28.5404,-16.0248
AKAZE,ORB,361,2,12.6142,21.6076,-8.99335
AKAZE,ORB,362,3,14.091,13.3189,0.772064
AKAZE,ORB,363,4,16.6894,14.4776,2.21183
AKAZE,ORB,364,5,15.7465,16.2998,-0.553223
AKAZE,ORB,365,6,12.7835,12.4433,0.340187
AKAZE,ORB,366,7,11.9844,16.319,-4.33463
AKAZE,ORB,367,8,13.1241,14.0475,-0.923345
AKAZE,ORB,368,9,13.0241,13.9262,-0.902057
AKAZE,ORB,369,10,11.1746,16.1038,-4.92914
AKAZE,ORB,370,11,12.8086,12.9469,-0.138301
AKAZE,ORB,371,12,8.95978,10.388,-1.42824
AKAZE,ORB,372,13,9.96439,10.2994,-0.334986
AKAZE,ORB,373,14,9.59863,10.273,-0.674401
AKAZE,ORB,374,15,8.52157,9.44942,-0.927851
AKAZE,ORB,375,16,9.51552,9.75507,-0.239549
AKAZE,ORB,376,17,9.61241,9.63923,-0.0268124
AKAZE,ORB,377,18,8.3988,8.99438,-0.595581
AKAZE,FREAK,378,1,12.5156,12.4778,0.0378413
AKAZE,FREAK,379,2,12.6142,21.2767,-8.66243
AKAZE,FREAK,380,3,14.091,13.3196,0.771383
AKAZE,FREAK,381,4,16.6894,14.2039,2.4855
AKAZE,FREAK,382,5,15.7465,15.383,0.363547
AKAZE,FREAK,383,6,12.7835,12.4433,0.340187
AKAZE,FREAK,384,7,11.9844,16.4578,-4.47347
AKAZE,FREAK,385,8,13.1241,17.3302,-4.20612
AKAZE,FREAK,386,9,13.0241,13.8797,-0.855534
AKAZE,FREAK,387,10,11.1746,11.8702,-0.695581
AKAZE,FREAK,388,11,12.8086,13.0831,-0.27445
AKAZE,FREAK,389,12,8.95978,10.2015,-1.24169
AKAZE,FREAK,390,13,9.96439,10.3211,-0.356676
AKAZE,FREAK,391,14,9.59863,10.0032,-0.404562
AKAZE,FREAK,392,15,8.52157,13.3578,-4.83624
AKAZE,FREAK,393,16,9.51552,10.0881,-0.572551
AKAZE,FREAK,394,17,9.61241,9.84253,-0.230119
AKAZE,FREAK,395,18,8.3988,9.00226,-0.603461
AKAZE,AKAZE,396,1,12.5156,28.8999,-16.3843
AKAZE,AKAZE,397,2,12.6142,15.1478,-2.53355
AKAZE,AKAZE,398,3,14.091,13.4446,0.646427
